name,slug,category,tvl_usd,original_tvl,chain_count,allocation_ratio,change_1d,change_7d,change_1m,chains_count,chain,collected_date
Binance CEX,binance-cex,CEX,1234496966.4699054,196898436404.86694,30,0.03333333333333333,-1.32486020413765,1.6926404944007203,0.0,30,Sui,2025-09-16
Gate,gate,CEX,14250213.803158168,8939935247.942547,118,0.00847457627118644,-2.2033199555485368,3.6867165066409484,0.0,118,Sui,2025-09-16
HTX,htx,CEX,72526262.03800923,7326218739.2210245,19,0.05263157894736842,-1.3362701918518667,3.9893309085221773,0.0,19,Sui,2025-09-16
KuCoin,kucoin,CEX,46350685.895445846,5421379779.071214,22,0.045454545454545456,-1.6253606663835,3.756633669176111,0.0,22,Sui,2025-09-16
Portal,portal,Bridge,23194961.102125265,2959619470.942789,24,0.041666666666666664,-3.1043766405641264,3.1629209615401805,0.0,24,Sui,2025-09-16
Bitstamp,bitstamp,CEX,43462591.61398735,2541787794.182917,11,0.09090909090909091,-2.4789810881565586,4.423649471595056,0.0,11,Sui,2025-09-16
Ondo Yield Assets,ondo-yield-assets,RWA,26469255.62133627,1407254718.9119666,10,0.1,0.8835188480917964,0.71847766568456,0.0,10,Sui,2025-09-16
Indodax,indodax,CEX,8358185.606177821,755425982.3915453,17,0.058823529411764705,-1.5952956853945466,0.6557826722234381,0.0,17,Sui,2025-09-16
Suilend,suilend,Lending,126126117.58779375,670557482.5851785,1,1.0,-3.926216694929593,-0.22496137877845968,0.0,1,Sui,2025-09-16
Phemex,phemex,CEX,6768673.020502618,575777252.5312022,16,0.0625,-0.9326223953351302,1.3908403423069586,0.0,16,Sui,2025-09-16
NAVI Lending,navi-lending,Lending,97825487.53639016,520095392.6882623,1,1.0,-3.7525695747157215,-9.987491685388676,0.0,1,Sui,2025-09-16
Bitrue,bitrue,CEX,4145798.240156639,462869370.5338107,21,0.047619047619047616,-1.8923709264538786,0.2439092194541388,0.0,21,Sui,2025-09-16
SpringSui,springsui,Liquid Staking,56564160.635761864,300726938.1304644,1,1.0,-5.175056748960543,1.545403423338044,0.0,1,Sui,2025-09-16
Haedal Protocol,haedal-protocol,Liquid Staking,32148640.493046947,170920280.82564074,1,1.0,-4.921095170266824,-0.5685667127225145,0.0,1,Sui,2025-09-16
Momentum,momentum,Dexs,27688934.481563937,147209971.70549822,1,1.0,-0.05696006734828529,-3.624504382708807,0.0,1,Sui,2025-09-16
AlphaLend,alphalend,Lending,22932439.038180865,121921762.79648554,1,1.0,-1.7923156059957535,3.021162079133873,0.0,1,Sui,2025-09-16
Libre Capital,libre-capital,RWA,1720485.0809423327,118911880.96459799,13,0.07692307692307693,-0.009101829467709877,-0.009801901568877724,0.0,13,Sui,2025-09-16
Flipster,flipster,CEX,908720.8355364688,101456707.917323,21,0.047619047619047616,-1.5266866043571525,0.12702687292313897,0.0,21,Sui,2025-09-16
Scallop Lend,scallop-lend,Lending,17702206.012416437,94114898.06326178,1,1.0,-3.4325808815363104,2.3709563422357576,0.0,1,Sui,2025-09-16
Cetus AMM,cetus-amm,Dexs,8348184.702800461,88767304.1163638,2,0.5,-4.081984717947961,-4.889313697511483,0.0,2,Sui,2025-09-16
Bluefin Spot,bluefin-spot,Dexs,16281908.611059865,86563797.08441024,1,1.0,8.377216658478659,2.3088451147007305,0.0,1,Sui,2025-09-16
Volo,volo,Liquid Staking,16063022.579428622,85400075.65104781,1,1.0,-5.660377358490564,1.1560693641618371,0.0,1,Sui,2025-09-16
Bucket CDP,bucket-cdp,CDP,14092879.18637373,74925683.67541972,1,1.0,-3.8279715925178834,3.2848182078063672,0.0,1,Sui,2025-09-16
MatrixDock XAUM,matrixdock-xaum,RWA,2608462.1717931903,55472216.56509899,4,0.25,1.3161694592017454,2.8201320920633606,0.0,4,Sui,2025-09-16
AlphaFi stSUI,alphafi-stsui,Liquid Staking,7794488.019462084,41439888.61571566,1,1.0,-11.995310773793719,12.05391250299968,0.0,1,Sui,2025-09-16
