name,slug,category,tvl_usd,original_tvl,chain_count,allocation_ratio,change_1d,change_7d,change_1m,chains_count,chain,collected_date
Bucket Farm,bucket-farm,Farm,7144058.277489423,37981837.74792359,1,1.0,0.0,0.0,0.0,1,Sui,2025-09-16
Bitlo,bitlo,CEX,573687.4362770251,36600546.54036826,12,0.08333333333333333,-2.261179215011893,0.0,0.0,12,Sui,2025-09-16
Kai Finance,kai-finance,Leveraged Farming,6735571.640175249,35810092.70077734,1,1.0,-4.404103250089136,0.2575494409390586,0.0,1,Sui,2025-09-16
CEX.IO,cex.io,CEX,444521.51187086484,30723247.58366396,13,0.07692307692307693,-2.3083712791113413,-10.871191216322103,0.0,13,Sui,2025-09-16
Aftermath afSUI,aftermath-afsui,Liquid Staking,5333870.573923385,28357860.31386864,1,1.0,-7.734546418582369,-2.1486872607410277,0.0,1,Sui,2025-09-16
AlphaFi Agg,alphafi-agg,Yield Aggregator,4732179.284797579,25158930.513712183,1,1.0,-3.5093629882875916,4.501214013882844,0.0,1,Sui,2025-09-16
Allbridge Core,allbridge-core,Bridge,364738.84235848155,23269885.53462987,12,0.08333333333333333,0.0,0.0,0.0,12,Sui,2025-09-16
Aftermath AMM,aftermath-amm,Dexs,4038105.9354553297,21468845.646551855,1,1.0,-10.083628967856043,-6.553731736386254,0.0,1,Sui,2025-09-16
Magma,magma,Dexs,3897353.552536172,20720526.699110713,1,1.0,0.04669016124911707,12.781110472019847,0.0,1,Sui,2025-09-16
Turbos,turbos,Dexs,3302186.688164845,17556284.41588059,1,1.0,-6.199277250328848,-1.8825385834674364,0.0,1,Sui,2025-09-16
DeepBook V3,deepbook-v3,Dexs,3266900.9813994747,17368685.723775003,1,1.0,-6.874686903642896,-0.32497328299470496,0.0,1,Sui,2025-09-16
SpringSui Ecosystem,springsui-ecosystem,Liquid Staking,3173165.109092372,16870333.029152304,1,1.0,-3.8206953606890437,-12.388825586543334,0.0,1,Sui,2025-09-16
Balanced Exchange,balanced-exchange,Dexs,275432.73234408157,16107910.991790237,11,0.09090909090909091,-1.5219047676396968,-1.8802317206465204,0.0,11,Sui,2025-09-16
Mole,mole,Yield,1234632.058632492,13127998.879047113,2,0.5,-0.9137572291882492,0.37458473822746896,0.0,2,Sui,2025-09-16
Typus DOV,typus-dov,Options Vault,2263881.728766865,12036070.418609366,1,1.0,-4.675001387284624,-2.2582512992049004,0.0,1,Sui,2025-09-16
Metastable,metastable,CDP,1937913.2969086766,10303038.630669681,1,1.0,-2.3014335656588685,7.00426086145572,0.0,1,Sui,2025-09-16
STEAMM,steamm,Dexs,1922463.513554421,10220898.88015128,1,1.0,0.0,0.0,0.0,1,Sui,2025-09-16
Nemo Vault,nemo-vault,Yield Aggregator,1769926.4502671957,9409925.934063254,1,1.0,-1.8766647707065829,-7.615266279328054,0.0,1,Sui,2025-09-16
DoubleUp,doubleup,Prediction Market,1629472.4801605693,8663193.5172168,1,1.0,-4.435096345250955,-6.040086816530604,0.0,1,Sui,2025-09-16
xSui,xsui,Liquid Staking,1598262.0468475225,8497261.274212321,1,1.0,0.4439613289153499,-25.974595025543294,0.0,1,Sui,2025-09-16
Bluefin Pro,bluefin-pro,Derivatives,1596612.3672948915,8488490.648516065,1,1.0,3.3964184286388672,-12.471129783861329,0.0,1,Sui,2025-09-16
Haedal Vault,haedal-vault,Farm,1285135.9464295846,6832506.5537492,1,1.0,0.0,0.0,0.0,1,Sui,2025-09-16
FlowX V3,flowx-v3,Dexs,1048716.39371584,5575567.046423995,1,1.0,-0.6193657373685966,-0.14269457962171828,0.0,1,Sui,2025-09-16
OmniBTC,omnibtc,Lending,106333.28343745129,4522621.022228888,8,0.125,-4.4622378413608885,0.8934232266911692,0.0,8,Sui,2025-09-16
BlueMove DEX,bluemove-dex,Dexs,790196.8886439368,4201131.744397712,1,1.0,-5.558471880819724,-0.23715898513471245,0.0,1,Sui,2025-09-16
Full Sail,full-sail,Dexs,772495.2548203031,4107019.888412309,1,1.0,2.9425845701340165,-1.6381652894706917,0.0,1,Sui,2025-09-16
Typus Perp,typus-perp,Derivatives,689269.1947421331,3664543.2753297426,1,1.0,-0.7497256379586901,-3.6012872144566046,0.0,1,Sui,2025-09-16
Typus Safu,typus-safu,Yield,661733.9011828782,3518150.145306649,1,1.0,-5.836090501272437,-7.680798994359975,0.0,1,Sui,2025-09-16
Bridgers,bridgers,Dexs,27760.430225197004,2361441.333586708,16,0.0625,0.808096032252493,62.53451222656611,0.0,16,Sui,2025-09-16
Nemo Yield Trading,nemo-yield-trading,Yield,295722.6507168267,1572228.1792275065,1,1.0,-5.161881609199753,0.6760136537844517,0.0,1,Sui,2025-09-16
DipCoin AMM,dipcoin-amm,Dexs,276972.6443143176,1472542.5841090276,1,1.0,-2.4888775157474754,-0.20128766693339628,0.0,1,Sui,2025-09-16
FlowX V2,flowx-v2,Dexs,219787.11347691534,1168512.091995183,1,1.0,9.049953557122208,15.025096296611949,0.0,1,Sui,2025-09-16
Strater,strater,Yield,214021.40041069812,1137858.3137537343,1,1.0,-0.001183524631770183,-8.218574439648819,0.0,1,Sui,2025-09-16
Haedal AMM Protocol,haedal-amm-protocol,Dexs,213933.697675034,1137392.0366117156,1,1.0,-2.928554434356329,0.26942142307734684,0.0,1,Sui,2025-09-16
Winter Walrus,winter-walrus,Liquid Staking,207573.6562380332,1103578.4739912373,1,1.0,-4.791254806069077,-2.928084630867801,0.0,1,Sui,2025-09-16
ZO Perps,zo-perps,Derivatives,196945.84537156936,1047075.0452303643,1,1.0,-3.4890973962771596,66.7070930111104,0.0,1,Sui,2025-09-16
Sudo Perps,sudo-perps,Derivatives,188457.2248318678,1001944.75716167,1,1.0,-5.982305567531199,-2.089975564579376,0.0,1,Sui,2025-09-16
Bucket Protocol V2,bucket-protocol-v2,CDP,160326.282225687,852384.8213012936,1,1.0,26.58493198626941,326.38214185384334,0.0,1,Sui,2025-09-16
Skate AMM,skate-amm,Dexs,15156.686505275162,805814.8258020792,10,0.1,-0.693124906973992,20.672440586608417,0.0,10,Sui,2025-09-16
Liquid Agents,liquid-agents,Liquid Staking,135796.21594564233,721969.172211448,1,1.0,-30.151453645514763,-23.599433865455183,0.0,1,Sui,2025-09-16
Streamflow,streamflow,Payments,21963.1058211162,700609.4485818787,6,0.16666666666666666,1.6309928254697184,18.963502428088773,0.0,6,Sui,2025-09-16
Kriya CLMM,kriya-clmm,Dexs,122946.62292661927,653653.4980919897,1,1.0,-4.919825410391795,-0.27200920036062826,0.0,1,Sui,2025-09-16
Bluefin Legacy,bluefin-legacy,Derivatives,44530.34834276852,473496.82769047265,2,0.5,-0.22977003917338834,-2.971036019397218,0.0,2,Sui,2025-09-16
Kriya Strats,kriya-strats,Yield,60222.02767967027,320174.21965712484,1,1.0,-5.880420648942305,-5.975584461860805,0.0,1,Sui,2025-09-16
Kriya AMM,kriya-amm,Dexs,58023.930247144686,308487.8956108359,1,1.0,-5.112868137961456,-0.6470178949665666,0.0,1,Sui,2025-09-16
SuiDollar,suidollar,Basis Trading,47153.364227735074,250693.84372322957,1,1.0,-0.009701891868900248,-0.009801901568891935,0.0,1,Sui,2025-09-16
Koral Finance,koral-finance,Onchain Capital Allocator,12143.18011740599,64559.985242058916,1,1.0,0.09471650976647084,0.0,0.0,1,Sui,2025-09-16
ABEx Finance,abex-finance,Derivatives,11598.228186801069,61662.713830671775,1,1.0,-5.822703342834302,1.066821850328921,0.0,1,Sui,2025-09-16
Sui Pearl,sui-pearl,Yield Aggregator,11108.354532740233,59058.269560648296,1,1.0,-5.484402579201259,0.9445531444895181,0.0,1,Sui,2025-09-16
Weiss Finance,weiss-finance,CDP,5067.154982445391,26939.850000000002,1,1.0,-5.660377358490564,0.8677671623492671,0.0,1,Sui,2025-09-16
Interest Protocol Stable Swap,interest-protocol-stable-swap,Dexs,4824.906054014507,25651.91824792258,1,1.0,-14.075832192683805,257.0210158779713,0.0,1,Sui,2025-09-16
Jackson Protocol,jackson-protocol,Prediction Market,3940.583068932234,20950.359157623836,1,1.0,-2.2203819890619485,-0.0260299030273643,0.0,1,Sui,2025-09-16
AnimeSwap,animeswap,Dexs,1904.1355317776947,20246.91401130404,2,0.5,-1.9350003996184455,-0.5163445030540998,0.0,2,Sui,2025-09-16
Sui Rewards Me,sui-rewards-me,Dexs,3561.7671907983326,18936.360578559146,1,1.0,-7.422886378093452,-7.741498313611331,0.0,1,Sui,2025-09-16
BaySwap,bayswap,Dexs,3519.3767425959327,18710.98907917503,1,1.0,-2.9128467214352867,-0.16404306043777694,0.0,1,Sui,2025-09-16
Interest Protocol-SUI,interest-protocol-sui,Dexs,1776.4396426726078,9444.553733495246,1,1.0,-2.8720976052055107,0.5704664278897127,0.0,1,Sui,2025-09-16
Poseidollar,poseidollar,Algo-Stables,221.48556805365712,1177.5420331925125,1,1.0,-0.12854930219675964,0.05958768820066496,0.0,1,Sui,2025-09-16
DegenHive LST,degenhive-lst,Liquid Staking,126.82909413280737,674.2949018553201,1,1.0,-4.644808743169392,0.2873563218390984,0.0,1,Sui,2025-09-16
DegenHive AMM,degenhive-amm,Dexs,65.07426581383959,345.97145063815105,1,1.0,-4.818816656741191,-0.5304832724553563,0.0,1,Sui,2025-09-16
DegenHive Memepad,degenhive-memepad,Launchpad,16.15696334872965,85.8995176935,1,1.0,-6.166219839142087,1.1560693641618371,0.0,1,Sui,2025-09-16
