date,price_usd,market_cap_usd,volume_24h_usd,chain,price_change_1d,price_change_7d,price_change_30d,ma_7d,ma_30d,volatility_30d,cumulative_return,year,month,quarter,weekday
1970-01-01 00:00:01.743984000,1.097309425,1097309425.0,0,Sui,-0.09681270666291908,-0.09821814070147195,-0.09663068995193846,1.21282996,1.1761535806999999,0.04489697208706712,3249.6632721383735,1970,1,1,3
1970-01-01 00:00:01.744070400,1.130018501,1130018501.0,0,Sui,0.029808434389415606,-0.07388002454918641,-0.05221725471230998,1.1999519934285714,1.1740783349333335,0.04516551869999924,3349.511490012546,1970,1,1,3
1970-01-01 00:00:01.744156800,1.092092749,1092092749.0,0,Sui,-0.033562062892278144,-0.13922136991838352,-0.013667858967493896,1.1747185854285715,1.1735738879000002,0.04363140449482416,3233.738768437109,1970,1,1,3
1970-01-01 00:00:01.744243200,1.197037729,1197037729.0,0,Sui,0.09609529968594277,-0.0365853643421441,0.17208631910423322,1.1682247101428571,1.1794322111666669,0.04442979349121529,3554.0953944647176,1970,1,1,3
1970-01-01 00:00:01.744329600,1.176047185,1176047185.0,0,Sui,-0.017535407190160557,-0.03403446059776105,0.08392312660720358,1.1623052248571428,1.1824674066333332,0.04333176729744798,3490.019343811089,1970,1,1,3
1970-01-01 00:00:01.744416000,1.164617535,1164617535.0,0,Sui,-0.009718700189737639,-0.05215537367451184,0.04943753049797439,1.1531504599999998,1.1842961899333335,0.04324124665003477,3455.12902213323,1970,1,1,3
1970-01-01 00:00:01.744502400,1.235743111,1235743111.0,0,Sui,0.06107204628341756,0.017131039117825875,0.1364196066736887,1.1561237478571427,1.1892409476666665,0.04430286509920961,3672.248026316472,1970,1,1,3
1970-01-01 00:00:01.744588800,1.198929519,1198929519.0,0,Sui,-0.02979065120598512,0.09260842173118133,0.043720555175602804,1.1706409041428572,1.1909150185,0.04366067941495414,3559.870301102013,1970,1,1,3
1970-01-01 00:00:01.744675200,1.204718525,1204718525.0,0,Sui,0.00482847899585348,0.06610513361851611,0.02608112904112314,1.1813123361428572,1.1919357441333334,0.043504863073427706,3577.5419079784315,1970,1,1,3
1970-01-01 00:00:01.744761600,1.182468802,1182468802.0,0,Sui,-0.018468814530763544,0.08275492450870581,0.04884392064689003,1.194223200857143,1.1937713020333331,0.042973960243292635,3509.622068550867,1970,1,1,3
1970-01-01 00:00:01.744848000,1.165508518,1165508518.0,0,Sui,-0.014343113299322363,-0.02633936277542348,-0.00528763720324521,1.1897190278571428,1.1935647838333334,0.04250296015328071,3457.8488502539076,1970,1,1,3
1970-01-01 00:00:01.744934400,1.177462147,1177462147.0,0,Sui,0.010256148981658386,0.0012031507052159274,0.024908449666503074,1.1899211652857142,1.1945186497333333,0.042362158187147544,3494.338678116334,1970,1,1,3
1970-01-01 00:00:01.745020800,1.187813931,1187813931.0,0,Sui,0.008791606614594771,0.019917608401800235,-0.007638828995704339,1.1932349361428571,1.1942138713333332,0.04170544700782657,3525.9386898139546,1970,1,1,3
1970-01-01 00:00:01.745107200,1.20720025,1207200250.0,0,Sui,0.01632100659375091,-0.02309773022072692,0.0722065084513197,1.1891573845714285,1.1969237882,0.040216420662970265,3585.117659078944,1970,1,1,3
1970-01-01 00:00:01.745193600,1.20480951,1204809510.0,0,Sui,-0.001980400517644032,0.004904367526878728,0.0999909017738958,1.1899973832857142,1.2005744241333332,0.039822923445302964,3577.8196501593256,1970,1,1,3
1970-01-01 00:00:01.745280000,1.233050046,1233050046.0,0,Sui,0.023439834899709577,0.023517129032277317,0.10903988445190849,1.1940447434285715,1.2046155061666668,0.039932492252450505,3664.0271355499676,1970,1,1,3
1970-01-01 00:00:01.745366400,1.432862503,1432862503.0,0,Sui,0.16204732131367194,0.21175501677210407,0.24555884952730378,1.2298152721428572,1.2140316829,0.04901859423289364,4273.977650217813,1970,1,1,3
1970-01-01 00:00:01.745452800,1.51898228,1518982280.0,0,Sui,0.06010330846099321,0.3032785745800959,0.256136010694789,1.280311523857143,1.2243560972999998,0.049312945414938095,4536.868178130345,1970,1,1,3
1970-01-01 00:00:01.745539200,1.657667877,1657667877.0,0,Sui,0.09130165560588366,0.4078311402396191,0.34326544618694554,1.3489123424285714,1.2384764164333333,0.05153750794594141,4960.221919619884,1970,1,1,3
1970-01-01 00:00:01.745625600,1.724136668,1724136668.0,0,Sui,0.040097773457668406,0.45152083420042,0.3213867743335148,1.425529876285714,1.2524545272333332,0.05109937113252325,5163.12555179833,1970,1,1,3
1970-01-01 00:00:01.745712000,1.71871389,1718713890.0,0,Sui,-0.0031452135440576123,0.42371896460425673,0.2808622024835352,1.4986032534285714,1.2650169446333335,0.05104418333624439,5146.571898028737,1970,1,1,3
