date,price_usd,market_cap_usd,volume_24h_usd,chain,price_change_1d,price_change_7d,price_change_30d,ma_7d,ma_30d,volatility_30d,cumulative_return,year,month,quarter,weekday
2024-08-23,0.8507863771209848,2212011269.9704933,147004465.16156062,Sui,,,,,,,0.0,2024,8,3,4
2024-08-24,1.0138647442469284,2630507486.3856425,527120640.659606,Sui,0.19167957023217985,,,,,,19.167957023217987,2024,8,3,5
2024-08-25,1.021088691613257,2645187199.838938,379193108.97665745,Sui,0.007125158861002179,,,,,,20.01704764814949,2024,8,3,6
2024-08-26,0.996622739833683,2584745813.653729,262604458.3485973,Sui,-0.02396065295848049,,,,,,17.14136082035076,2024,8,3,0
2024-08-27,0.9288230364423272,2409551410.4617815,287090076.58498365,Sui,-0.06802945656514947,,,,,,9.172297702440213,2024,8,3,1
2024-08-28,0.850084879516113,2209340930.652269,354059045.11302555,Sui,-0.0847719682188387,,,,,,-0.08245284876864378,2024,8,3,2
2024-08-29,0.812630843476151,2112865741.3140848,349029733.3333892,Sui,-0.04405917213970645,,,0.9248430446070636,,,-4.484737258481985,2024,8,3,3
2024-08-30,0.8038747973173476,2087653830.1116529,200685895.2906761,Sui,-0.010774937019801145,-0.055139081989516,,0.9181413903494011,,,-5.513908198951601,2024,8,3,4
2024-08-31,0.832698371160662,2164560261.522931,230173692.3989977,Sui,0.03585579985776777,-0.17868889722645587,,0.8922604799085059,,,-2.1260338019905345,2024,8,3,5
2024-09-01,0.7973909055960918,2068498210.383737,103273508.60662784,Sui,-0.042401266517858915,-0.21907772346762222,,0.860303653334625,,,-6.276013927912238,2024,9,3,6
2024-09-02,0.7634092761110737,2046857435.1864312,147437761.64381438,Sui,-0.04261602339145698,-0.2340037552840989,,0.8269874442313953,,,-10.270157510700928,2024,9,3,0
2024-09-03,0.7853426399666246,2106016102.342137,216630811.5566775,Sui,0.028730806058950398,-0.15447549301239982,,0.8064902447348662,,,-7.6921468084407145,2024,9,3,1
2024-09-04,0.7867496125513386,2116141665.0416129,288810042.61851984,Sui,0.0017915397854544324,-0.07450463887891556,,0.7974423494541841,,,-7.526773616938154,2024,9,3,2
2024-09-05,0.809679925120235,2167418296.4234757,321871855.9007844,Sui,0.029145629312146815,-0.0036313147348592256,,0.7970207896890533,,,-4.8315832394791975,2024,9,3,3
2024-09-06,0.7973588403008924,2137444067.8170297,243436923.26635668,Sui,-0.015217228977874142,-0.00810568640564413,,0.7960899386867026,,,-6.279782828785796,2024,9,3,4
2024-09-07,0.8360236142317813,2241754932.485148,413550671.1413717,Sui,0.04849105819946553,0.003993334424906347,,0.7965649734111482,,,-1.735190323469904,2024,9,3,5
