date,price_usd,market_cap_usd,volume_24h_usd,chain
2024-08-23,0.8507863771209848,2212011269.9704933,147004465.16156062,Sui
2024-08-24,1.0138647442469284,2630507486.3856425,527120640.659606,Sui
2024-08-25,1.021088691613257,2645187199.838938,379193108.97665745,Sui
2024-08-26,0.996622739833683,2584745813.653729,262604458.3485973,Sui
2024-08-27,0.9288230364423273,2409551410.4617815,287090076.58498365,Sui
2024-08-28,0.850084879516113,2209340930.652269,354059045.11302555,Sui
2024-08-29,0.812630843476151,2112865741.3140848,349029733.3333892,Sui
2024-08-30,0.8038747973173476,2087653830.1116526,200685895.2906761,Sui
2024-08-31,0.832698371160662,2164560261.522931,230173692.3989977,Sui
2024-09-01,0.7973909055960918,2068498210.3837373,103273508.60662785,Sui
2024-09-02,0.7634092761110737,2046857435.1864312,147437761.64381438,Sui
2024-09-03,0.7853426399666246,2106016102.342137,216630811.5566775,Sui
2024-09-04,0.7867496125513386,2116141665.0416126,288810042.61851984,Sui
2024-09-05,0.809679925120235,2167418296.4234757,321871855.9007844,Sui
2024-09-06,0.7973588403008924,2137444067.8170295,243436923.26635668,Sui
2024-09-07,0.8360236142317813,2241754932.485148,413550671.1413717,Sui
2024-09-08,0.890469479614725,2383222467.860171,314835116.4438326,Sui
2024-09-09,0.9359090586255177,2514007462.958575,453666116.7246734,Sui
2024-09-10,0.9534666569338249,2559610830.544586,484201582.90017134,Sui
2024-09-11,0.9186918245867802,2459889854.1286736,343309214.5189487,Sui
2024-09-12,0.9321412453831902,2499770251.8160057,311747127.07401526,Sui
2024-09-13,1.041028943362713,2789234133.9682593,740313314.3652396,Sui
2024-09-14,1.0283593607905792,2757038670.187426,353161087.10229933,Sui
2024-09-15,1.0407053445754468,2786006715.0660434,314403352.826202,Sui
2024-09-16,1.0825910805097796,2905024404.264287,502138394.316836,Sui
2024-09-17,1.0434051491523249,2804324639.8961062,524650254.3615356,Sui
2024-09-18,1.168463728641916,3131455122.387812,577901643.5286385,Sui
2024-09-19,1.2947057163821711,3462677059.7806964,778522415.4432043,Sui
2024-09-20,1.3858637681235675,3717731506.2868967,969884093.9588754,Sui
2024-09-21,1.4655015378563294,3925305223.4907765,1079196164.6459773,Sui
2024-09-22,1.4893056522139478,3991285160.058238,576848450.1581538,Sui
2024-09-23,1.5780486989277156,4228311369.958685,953051151.40844,Sui
2024-09-24,1.534456305705568,4116933018.9818773,564642163.7758939,Sui
2024-09-25,1.747364668396515,4682694067.442035,1216396684.1583245,Sui
2024-09-26,1.6990619636655135,4536062164.291728,846998251.8184112,Sui
2024-09-27,1.6488120333843557,4421509811.347048,905122797.8236406,Sui
2024-09-28,1.6595235481223773,4447403924.676446,659086268.5800247,Sui
2024-09-29,1.690081932328978,4530513812.576139,421224249.2096356,Sui
2024-09-30,1.7614906650295168,4727024691.488289,955636588.377204,Sui
2024-10-01,1.7759590612431102,4757894316.30934,833271020.1067513,Sui
2024-10-02,1.7699417682770602,4902134291.123311,1616767226.696851,Sui
2024-10-03,1.840038766699644,5083958375.1099415,1273573315.9887605,Sui
2024-10-04,1.6757118825210737,4639918274.457497,1655664505.293121,Sui
2024-10-05,1.772526393933093,4897530618.708205,1320501495.9583118,Sui
2024-10-06,1.7581099057239122,4857924482.2285185,460139835.79542595,Sui
2024-10-07,1.8409972225771998,5089492823.814903,733018372.3318363,Sui
2024-10-08,2.029031213026386,5615143475.940724,2002122369.1531,Sui
2024-10-09,1.98770779713734,5496047729.15087,1540110513.698788,Sui
2024-10-10,1.8769154693699404,5186629000.872619,1079258402.1917908,Sui
2024-10-11,1.8314947951540053,5060818999.287079,1004763489.0716869,Sui
2024-10-12,2.053148014831685,5672923424.914546,1472528371.9957004,Sui
2024-10-13,2.24170399369927,6195878168.620368,1573729810.4728537,Sui
2024-10-14,2.3408987820393152,6475877320.006593,1280060963.1152177,Sui
2024-10-15,2.250291250881008,6226451748.812283,1463964804.071177,Sui
2024-10-16,2.05072443653971,5659665240.582557,1720096673.2085667,Sui
2024-10-17,2.0839656063568355,5740547957.906691,1233409810.1681356,Sui
2024-10-18,2.0226329285994886,5586457019.99207,868795796.0079961,Sui
2024-10-19,2.128873030590839,5885954750.421095,808213747.3247008,Sui
2024-10-20,2.064906677595255,5703624148.503284,471581653.74920714,Sui
2024-10-21,2.126240568930124,5875661143.003627,589273190.7763649,Sui
2024-10-22,2.014617081044524,5568082038.555412,787418119.504116,Sui
2024-10-23,1.9360543943949107,5350410993.216459,703323760.0354645,Sui
2024-10-24,1.9788389456517386,5468538532.450964,903986001.5415869,Sui
2024-10-25,1.934664218082024,5342759153.765517,742356806.9516741,Sui
2024-10-26,1.7320448740062977,4758429595.37244,908726575.7675284,Sui
2024-10-27,1.7952317483751186,4960897532.457889,708864571.5610441,Sui
2024-10-28,1.7505456263856518,4837354373.755022,532803079.53417134,Sui
2024-10-29,1.7760522226481028,4913840327.388607,996842310.8085539,Sui
2024-10-30,2.0640180674190463,5694014725.856604,1686945530.8653855,Sui
2024-10-31,2.0940116257839865,5794224771.311295,1184566098.376487,Sui
2024-11-01,1.9733853038054165,5457125646.88151,863316820.0174927,Sui
2024-11-02,1.991717876391068,5667010540.8809595,1139136225.3770745,Sui
2024-11-03,1.911173989800605,5442366757.54479,505622861.739672,Sui
2024-11-04,1.9525994215340519,5555424356.618169,924188195.2897176,Sui
2024-11-05,1.8544211181954562,5274852079.1503935,898335852.7291474,Sui
2024-11-06,2.006968033927973,5714858375.784058,1087005134.2398934,Sui
