name,slug,category,tvl_usd,original_tvl,chain_count,allocation_ratio,change_1d,change_7d,change_1m,chains_count,chain,collected_date
Metastable,metastable,CDP,1940378.3950138015,10294962.990058353,1,1.0,-2.8168224662460233,6.939983040238886,0.0,1,Sui,2025-09-16
STEAMM,steamm,Dexs,1926418.9083358608,10220898.88015128,1,1.0,0.0,0.0,0.0,1,Sui,2025-09-16
Nemo Vault,nemo-vault,Yield Aggregator,1773090.1955619457,9407390.841009503,1,1.0,-2.1003487677919708,-7.817365843759717,0.0,1,Sui,2025-09-16
DoubleUp,doubleup,Prediction Market,1650534.807502829,8757155.202670585,1,1.0,-3.500291993726748,-5.7671005487794815,0.0,1,Sui,2025-09-16
Bluefin Pro,bluefin-pro,Derivatives,1602154.0763027172,8500464.116840612,1,1.0,3.615122116603956,-11.913995016651413,0.0,1,Sui,2025-09-16
xSui,xsui,Liquid Staking,1581498.06783596,8390870.62557414,1,1.0,-11.846785510496062,-24.36212630561411,0.0,1,Sui,2025-09-16
Haedal Vault,haedal-vault,Farm,1287780.0642399404,6832506.5537492,1,1.0,0.0,0.0,0.0,1,Sui,2025-09-16
FlowX V3,flowx-v3,Dexs,1054940.2067042328,5597140.4405723335,1,1.0,-0.20204496003361783,-1.7300314434292972,0.0,1,Sui,2025-09-16
OmniBTC,omnibtc,Lending,107027.59301082324,4542805.101491005,8,0.125,-4.241002463021957,0.6682786395715681,0.0,8,Sui,2025-09-16
BlueMove DEX,bluemove-dex,Dexs,796528.9461843654,4226101.4874987295,1,1.0,-4.946795818072445,-0.14057502553072254,0.0,1,Sui,2025-09-16
Full Sail,full-sail,Dexs,776738.4375660144,4121100.0329866027,1,1.0,2.910774481915837,0.05736939482692094,0.0,1,Sui,2025-09-16
Typus Perp,typus-perp,Derivatives,692872.4179329226,3676136.529751943,1,1.0,-0.2850639196373379,-3.383664237769054,0.0,1,Sui,2025-09-16
Typus Safu,typus-safu,Yield,666438.7380266018,3535888.7528101234,1,1.0,-4.926509407451022,-8.15395698025489,0.0,1,Sui,2025-09-16
Bridgers,bridgers,Dexs,22436.257011207916,1904621.788487228,16,0.0625,-29.54752000708507,36.02957439899029,0.0,16,Sui,2025-09-16
Nemo Yield Trading,nemo-yield-trading,Yield,298558.8770516371,1584048.0380004044,1,1.0,-4.22914673221598,0.9360938864725057,0.0,1,Sui,2025-09-16
DipCoin AMM,dipcoin-amm,Dexs,278162.00610213535,1475829.438948943,1,1.0,-2.3313580069024056,-0.13353007147182439,0.0,1,Sui,2025-09-16
FlowX V2,flowx-v2,Dexs,221527.1543449272,1175344.9023832015,1,1.0,9.495715026423213,15.370046503864998,0.0,1,Sui,2025-09-16
Haedal AMM Protocol,haedal-amm-protocol,Dexs,215036.4381812002,1140907.4530401998,1,1.0,-2.598345523886465,0.21855212349788644,0.0,1,Sui,2025-09-16
Strater,strater,Yield,214669.32118810804,1138959.6598331544,1,1.0,0.08862049345930245,-8.197612634135439,0.0,1,Sui,2025-09-16
Winter Walrus,winter-walrus,Liquid Staking,209837.57629712208,1113324.1266000862,1,1.0,-4.116464388073851,-0.6791710404594369,0.0,1,Sui,2025-09-16
ZO Perps,zo-perps,Derivatives,197428.14211366553,1047484.048203758,1,1.0,-3.606428525365274,70.21683276755883,0.0,1,Sui,2025-09-16
Sudo Perps,sudo-perps,Derivatives,189788.587970544,1006951.2699755075,1,1.0,-5.931718184616898,-1.6293988944508726,0.0,1,Sui,2025-09-16
Bucket Protocol V2,bucket-protocol-v2,CDP,160835.88729914612,853338.4578352452,1,1.0,26.582522338127106,254.99327010156577,0.0,1,Sui,2025-09-16
Skate AMM,skate-amm,Dexs,15554.42673436335,825262.9898031094,10,0.1,1.6947429009845933,23.92093787216396,0.0,10,Sui,2025-09-16
Streamflow,streamflow,Payments,22037.08360428917,701525.9313275287,6,0.16666666666666666,-1.1743884869465688,19.128391979660137,0.0,6,Sui,2025-09-16
Kriya CLMM,kriya-clmm,Dexs,123892.65215845055,657330.6897195943,1,1.0,-4.576556087679208,0.33532515449590505,0.0,1,Sui,2025-09-16
Liquid Agents,liquid-agents,Liquid Staking,117893.3411149261,625500.4625238862,1,1.0,-39.157086730914244,-22.227471864237984,0.0,1,Sui,2025-09-16
Bluefin Legacy,bluefin-legacy,Derivatives,44621.96735022733,473496.8226760895,2,0.5,-0.2383533762682788,-2.962409073308521,0.0,2,Sui,2025-09-16
Kriya Strats,kriya-strats,Yield,60723.24437894305,322176.10499267647,1,1.0,-5.847185836132269,-5.573913418901498,0.0,1,Sui,2025-09-16
Kriya AMM,kriya-amm,Dexs,58508.96060778057,310427.89674000605,1,1.0,-4.948585327561602,-0.1670506438506152,0.0,1,Sui,2025-09-16
SuiDollar,suidollar,Basis Trading,47253.35810554344,250709.6420484951,1,1.0,0.0,-0.00320063052421915,0.0,1,Sui,2025-09-16
Koral Finance,koral-finance,Onchain Capital Allocator,12168.931061983356,64564.05370912154,1,1.0,0.10152493855034095,0.0,0.0,1,Sui,2025-09-16
