blockchain,protocol_count,total_tvl,avg_protocol_tvl,ecosystem_score,market_cap,mcap_to_tvl,circulation_ratio,current_price,tvl_vs_aptos,mcap_vs_aptos,efficiency_vs_aptos
Sui,77,24335798473.0,316049330.8181818,56.6263870462797,12040660241,0.49,0.35,3.43,0.4992282723973398,4.0518268226167296,0.1232106637950856
Aptos,68,48746835503.0,716865227.9852941,70.51518604496057,2971662109,0.06,0.59,4.33,1.0,1.0,1.0
